id,decorate,link,built_time,price,name,square,total_price,location,direction,right,style,lift,stair
,精装,https://sz.lianjia.com/ershoufang/105101217881.html,2008年建/板塔结合,78561元/平米,水木澜山居,87.83㎡,690,福田区?梅林?,南,商品房,3室2厅1厨1卫,有,高楼层 (共34层)
,精装,https://sz.lianjia.com/ershoufang/105101173599.html,2013年建/塔楼,65769元/平米,万象新天,63.86㎡,420,宝安区?西乡?,西北,商品房,3室2厅1厨1卫,有,低楼层 (共14层)
,其他,https://sz.lianjia.com/ershoufang/105101146268.html,2002年建/塔楼,61201元/平米,心语家园,59.64㎡,365,南山区?前海?,东南,商品房,2室1厅1厨1卫,有,低楼层 (共19层)
,精装,https://sz.lianjia.com/ershoufang/105100902421.html,1997年建/板塔结合,72662元/平米,一辉花园,121.11㎡,880,南山区?华侨城?,北,商品房,3室2厅1厨2卫,有,高楼层 (共8层)
,其他,https://sz.lianjia.com/ershoufang/105101135952.html,2016年建/暂无数据,97179元/平米,前海时代广场,79.03㎡,768,南山区?前海?,北,商品房,2室1厅1厨1卫,有,高楼层 (共27层)
,其他,https://sz.lianjia.com/ershoufang/105101192565.html,2004年建/板塔结合,77720元/平米,英达钰龙园,45.42㎡,353,南山区?南头?,东南,商品房,2室1厅1厨1卫,有,高楼层 (共30层)
,精装,https://sz.lianjia.com/ershoufang/105101039425.html,2012年建/塔楼,40412元/平米,万科清林径,86.61㎡,350,龙岗区?龙岗中心城?,南,商品房,4室2厅1厨2卫,有,中楼层 (共32层)
,精装,https://sz.lianjia.com/ershoufang/105100913555.html,2002年建/板塔结合,116803元/平米,星海名城二期七组团,115.58㎡,1350,南山区?前海?,东南,商品房,5室2厅1厨3卫,有,高楼层 (共14层)
,其他,https://sz.lianjia.com/ershoufang/105101005854.html,2004年建/塔楼,65280元/平米,英达钰龙园,69.7㎡,455,南山区?南头?,西南,商品房,2室1厅1厨1卫,有,中楼层 (共31层)
,精装,https://sz.lianjia.com/ershoufang/105100942443.html,2009年建/板塔结合,40072元/平米,中海大山地,89.84㎡,360,龙岗区?横岗?,南,商品房,3室2厅1厨2卫,有,低楼层 (共32层)
,精装,https://sz.lianjia.com/ershoufang/105100583746.html,2009年建/板塔结合,31934元/平米,万象天成,140.92㎡,450,龙岗区?龙岗中心城?,东南,商品房,4室2厅1厨2卫,有,中楼层 (共25层)
,简装,https://sz.lianjia.com/ershoufang/105101089807.html,1993年建/板楼,50455元/平米,新洲花园,89.19㎡,450,福田区?新洲?,南,商品房,3室2厅1厨1卫,暂无数据,高楼层 (共8层)
,其他,https://sz.lianjia.com/ershoufang/105101113466.html,2007年建/板楼,36285元/平米,中央悦城,159.85㎡,580,龙岗区?龙岗中心城?,南,商品房,5室3厅1厨3卫,暂无数据,低楼层 (共3层)
,精装,https://sz.lianjia.com/ershoufang/105101187675.html,2005年建/板塔结合,66140元/平米,丽晶国际,92.23㎡,610,宝安区?宝安中心?,东北,商品房,4室2厅1厨1卫,有,低楼层 (共30层)
,其他,https://sz.lianjia.com/ershoufang/105101176214.html,2011年建/塔楼,63440元/平米,潜龙曼海宁花园南区,69.2㎡,439,龙华区?上塘?,东 北,商品房,2室1厅1厨1卫,有,高楼层 (共28层)
,简装,https://sz.lianjia.com/ershoufang/105100842957.html,1996年建/板塔结合,39168元/平米,嘉华花园西区,81.7㎡,320,宝安区?西乡?,东南,商品房,3室2厅1厨1卫,暂无数据,中楼层 (共8层)
,精装,https://sz.lianjia.com/ershoufang/105101163380.html,2008年建/板塔结合,70073元/平米,泰华阳光海小区,142.71㎡,1000,宝安区?碧海?,南,商品房,4室1厅1厨2卫,有,低楼层 (共25层)
,精装,https://sz.lianjia.com/ershoufang/105101131821.html,2007年建/塔楼,84394元/平米,幸福海岸二期,154.04㎡,1300,宝安区?宝安中心?,东南,商品房,4室2厅1厨2卫,有,中楼层 (共29层)
,精装,https://sz.lianjia.com/ershoufang/105101008808.html,2001年建/板塔结合,35439元/平米,新亚洲花园,110.05㎡,390,龙岗区?龙岗中心城?,北,商品房,3室2厅1厨2卫,有,高楼层 (共11层)
,其他,https://sz.lianjia.com/ershoufang/105100845245.html,2011年建/板塔结合,89451元/平米,首地容御,195.64㎡,1750,南山区?华侨城?,东南,商品房,4室2厅1厨2卫,有,高楼层 (共32层)
,精装,https://sz.lianjia.com/ershoufang/105101006720.html,2007年建/板塔结合,84336元/平米,圣莫丽斯花园B区,272.72㎡,2300,龙华区?深圳北站?,南 北,商品房,4室3厅1厨5卫,有,低楼层 (共3层)
,其他,https://sz.lianjia.com/ershoufang/105100876076.html,2010年建/塔楼,66083元/平米,阅山华府,80.96㎡,535,龙岗区?龙岗中心城?,南,商品房,5室2厅1厨2卫,有,中楼层 (共32层)
,精装,https://sz.lianjia.com/ershoufang/105100716181.html,1998年建/板楼,59840元/平米,碧荔花园,66.01㎡,395,福田区?梅林?,东,商品房,2室2厅1厨1卫,有,低楼层 (共9层)
,简装,https://sz.lianjia.com/ershoufang/105101206229.html,2000年建/板楼,45021元/平米,和兴苑,54.42㎡,245,龙岗区?龙岗中心城?,南,商品房,3室1厅1厨1卫,暂无数据,中楼层 (共7层)
,其他,https://sz.lianjia.com/ershoufang/105101117460.html,2006年建/板塔结合,49387元/平米,信义假日名城五期A逸翠园,96.18㎡,475,龙岗区?布吉关?,南,商品房,3室2厅1厨2卫,有,高楼层 (共25层)
,其他,https://sz.lianjia.com/ershoufang/105101084447.html,2008年建/板楼,75858元/平米,绿景中城天邑花园,68.55㎡,520,福田区?新洲?,南,商品房,2室2厅1厨1卫,有,高楼层 (共32层)
,其他,https://sz.lianjia.com/ershoufang/105100963829.html,2005年建/板塔结合,113044元/平米,花园城三期,115㎡,1300,南山区?蛇口?,东,商品房,4室2厅1厨2卫,有,中楼层 (共9层)
,其他,https://sz.lianjia.com/ershoufang/105100982784.html,2000年建/板塔结合,58706元/平米,国都高尔夫花园二期,79.72㎡,468,福田区?车公庙?,南,商品房,2室1厅1厨1卫,有,高楼层 (共31层)
,精装,https://sz.lianjia.com/ershoufang/105101053240.html,2008年建/板塔结合,54975元/平米,世纪春城四期,73.67㎡,405,龙华区?深圳北站?,西南,商品房,2室2厅1厨1卫,有,高楼层 (共26层)
,精装,https://sz.lianjia.com/ershoufang/105101064973.html,2003年建/板塔结合,58609元/平米,梅林一村十二区,90.43㎡,530,福田区?梅林?,北,商品房,3室2厅1厨1卫,有,中楼层 (共31层)
,其他,https://sz.lianjia.com/ershoufang/105101217824.html,2010年建/塔楼,34998元/平米,振业峦山谷,64.29㎡,225,龙岗区?龙岗宝荷?,南,商品房,2室1厅1厨1卫,有,高楼层 (共33层)
,精装,https://sz.lianjia.com/ershoufang/105100585638.html,2015年建/塔楼,48348元/平米,THETOWN乐城,121㎡,585,龙岗区?横岗?,东北,商品房,4室2厅1厨2卫,有,低楼层 (共33层)
,其他,https://sz.lianjia.com/ershoufang/105101022549.html,2005年建/板塔结合,61191元/平米,阳基阳光城市,96.42㎡,590,福田区?皇岗?,西南,商品房,3室2厅1厨2卫,有,低楼层 (共29层)
,其他,https://sz.lianjia.com/ershoufang/105101074994.html,2003年建/板塔结合,49073元/平米,富通天骏,74.38㎡,365,龙华区?龙华中心?,东南,商品房,2室1厅1厨1卫,有,高楼层 (共18层)
,精装,https://sz.lianjia.com/ershoufang/105100863639.html,2004年建/板塔结合,51341元/平米,水晶之城,65.25㎡,335,龙岗区?横岗?,东南,商品房,4室2厅1厨3卫,暂无数据,高楼层 (共6层)
,其他,https://sz.lianjia.com/ershoufang/105101173350.html,2007年建/板塔结合,92025元/平米,西岸观邸,94.54㎡,870,宝安区?宝安中心?,南,商品房,4室2厅1厨1卫,有,中楼层 (共28层)
,精装,https://sz.lianjia.com/ershoufang/105100493299.html,2011年建/塔楼,39360元/平米,中海康城花园二期,114.33㎡,450,龙岗区?大运新城?,东,商品房,3室2厅1厨2卫,有,高楼层 (共24层)
,精装,https://sz.lianjia.com/ershoufang/105101075745.html,2008年建/板塔结合,59524元/平米,迷你新居福田,35.28㎡,210,福田区?梅林?,南,商品房,2室1厅1厨1卫,有,低楼层 (共16层)
,其他,https://sz.lianjia.com/ershoufang/105101066342.html,2009年建/板塔结合,50112元/平米,金港华庭,85.41㎡,428,宝安区?西乡?,西南,商品房,3室2厅1厨1卫,有,低楼层 (共31层)
,精装,https://sz.lianjia.com/ershoufang/105100512871.html,2007年建/塔楼,47917元/平米,信义假日名城六期溢芳园,75.13㎡,360,龙岗区?布吉关?,南,商品房,2室2厅1厨1卫,有,中楼层 (共24层)
,精装,https://sz.lianjia.com/ershoufang/105100886559.html,2008年建/塔楼,51129元/平米,桃源居十一区,75.3㎡,385,宝安区?桃源居?,南,商品房,2室1厅1厨1卫,有,高楼层 (共18层)
,其他,https://sz.lianjia.com/ershoufang/105100826101.html,2013年建/板塔结合,72557元/平米,西城雅筑,77.87㎡,565,宝安区?宝安中心?,西南,商品房,3室2厅1厨2卫,有,低楼层 (共31层)
,其他,https://sz.lianjia.com/ershoufang/105101108458.html,2001年建/板塔结合,81557元/平米,锦绣花园二期,177.79㎡,1450,南山区?华侨城?,东南,商品房,4室2厅1厨2卫,有,中楼层 (共33层)
,简装,https://sz.lianjia.com/ershoufang/105101110237.html,1998年建/板塔结合,42429元/平米,新洲大厦,91.92㎡,390,福田区?新洲?,东北,商品房,2室2厅1厨1卫,有,高楼层 (共33层)
,精装,https://sz.lianjia.com/ershoufang/105101218842.html,2003年建/板塔结合,67568元/平米,碧海红树园,156.88㎡,1060,福田区?上下沙?,东南 西南,商品房,4室1厅1厨2卫,有,低楼层 (共33层)
,其他,https://sz.lianjia.com/ershoufang/105101100667.html,2005年建/板塔结合,34030元/平米,龙岗天健郡城,108.73㎡,370,龙岗区?龙岗中心城?,南,商品房,3室2厅1厨2卫,有,低楼层 (共10层)
,毛坯,https://sz.lianjia.com/ershoufang/105101068729.html,2012年建/暂无数据,77628元/平米,十二橡树庄园一期,158.45㎡,1230,龙岗区?坂田?,南,商品房,4室2厅1厨2卫,暂无数据,低楼层 (共4层)
,其他,https://sz.lianjia.com/ershoufang/105100977839.html,2015年建/暂无数据,66085元/平米,中海锦城,77.93㎡,515,龙华区?上塘?,北,商品房,3室2厅1厨1卫,暂无数据,低楼层 (共48层)
,简装,https://sz.lianjia.com/ershoufang/105101074506.html,1995年建/板楼,53660元/平米,华茂苑,93.18㎡,500,福田区?梅林?,南 北,商品房,3室2厅1厨1卫,暂无数据,中楼层 (共8层)
,精装,https://sz.lianjia.com/ershoufang/105100800106.html,2013年建/板塔结合,139986元/平米,波托菲诺纯水岸十六期,178.59㎡,2500,南山区?华侨城?,南,商品房,3室2厅1厨2卫,有,高楼层 (共29层)
,毛坯,https://sz.lianjia.com/ershoufang/105101088313.html,2015年建/板塔结合,53835元/平米,领翔华府,128.17㎡,690,宝安区?西乡?,东南,商品房,4室1厅1厨2卫,有,低楼层 (共30层)
,其他,https://sz.lianjia.com/ershoufang/105101065865.html,2005年建/板塔结合,45223元/平米,劲力城市明珠,101.72㎡,460,龙华区?龙华中心?,南,商品房,4室2厅1厨2卫,有,中楼层 (共12层)
,简装,https://sz.lianjia.com/ershoufang/105100878147.html,2001年建/塔楼,79440元/平米,黄埔雅苑一期,107㎡,850,福田区?莲花?,西北,商品房,3室2厅1厨2卫,有,中楼层 (共27层)
,简装,https://sz.lianjia.com/ershoufang/105101220710.html,2001年建/板塔结合,49826元/平米,彩福大厦,120.42㎡,600,福田区?福田中心?,东南,商品房,3室1厅1厨2卫,有,中楼层 (共29层)
,精装,https://sz.lianjia.com/ershoufang/105100869957.html,2002年建/板塔结合,56721元/平米,中南花园,81.1㎡,460,宝安区?翻身?,西南,商品房,2室2厅1厨1卫,有,中楼层 (共15层)
,简装,https://sz.lianjia.com/ershoufang/105091353509.html,1999年建/板塔结合,62570元/平米,百仕达花园二期,89.5㎡,560,罗湖区?百仕达?,东北,商品房,2室1厅1厨2卫,有,高楼层 (共17层)
,简装,https://sz.lianjia.com/ershoufang/105101012957.html,2008年建/板塔结合,69934元/平米,泰华阳光海小区,113.68㎡,795,宝安区?碧海?,南,商品房,3室2厅1厨2卫,有,高楼层 (共25层)
,精装,https://sz.lianjia.com/ershoufang/105101084243.html,1998年建/板塔结合,66089元/平米,前海花园,68.09㎡,450,南山区?前海?,南 北,商品房,2室1厅1厨1卫,暂无数据,中楼层 (共5层)
,其他,https://sz.lianjia.com/ershoufang/105101094263.html,2008年建/板塔结合,46720元/平米,阳光花园,48.16㎡,225,龙岗区?布吉街?,南,商品房,2室1厅1厨1卫,有,中楼层 (共32层)
,其他,https://sz.lianjia.com/ershoufang/105100952207.html,1991年建/塔楼,42736元/平米,海富花园,72.54㎡,310,罗湖区?黄贝岭?,东北,商品房,2室1厅1厨1卫,有,低楼层 (共32层)
,精装,https://sz.lianjia.com/ershoufang/105101152227.html,2010年建/塔楼,33568元/平米,森雅谷润筑园,62.56㎡,210,龙岗区?大运新城?,东北,商品房,2室2厅1厨1卫,有,中楼层 (共16层)
,其他,https://sz.lianjia.com/ershoufang/105090788680.html,2001年建/板塔结合,68698元/平米,群星广场,174.68㎡,1200,福田区?华强北?,南,商品房,3室2厅1厨3卫,有,高楼层 (共30层)
,其他,https://sz.lianjia.com/ershoufang/105101177608.html,2011年建/塔楼,41165元/平米,中海康城国际一期,86.24㎡,355,龙岗区?大运新城?,北,商品房,3室2厅1厨1卫,有,中楼层 (共30层)
,精装,https://sz.lianjia.com/ershoufang/105101162873.html,1999年建/板塔结合,64137元/平米,都市花园,93.55㎡,600,福田区?车公庙?,东,商品房,3室2厅1厨2卫,有,低楼层 (共12层)
,简装,https://sz.lianjia.com/ershoufang/105101043284.html,2006年建/塔楼,38691元/平米,英郡年华,100.8㎡,390,龙岗区?丹竹头?,西南,商品房,3室2厅1厨1卫,有,高楼层 (共18层)
,其他,https://sz.lianjia.com/ershoufang/105101196624.html,1990年建/板塔结合,36631元/平米,兴隆大厦,73.71㎡,270,罗湖区?春风路?,南,商品房,2室1厅1厨1卫,有,高楼层 (共30层)
,精装,https://sz.lianjia.com/ershoufang/105101086107.html,2002年建/塔楼,50157元/平米,旭飞华达园,57.42㎡,288,罗湖区?百仕达?,西,商品房,2室1厅1厨1卫,有,低楼层 (共23层)
,精装,https://sz.lianjia.com/ershoufang/105100626433.html,2009年建/塔楼,53320元/平米,兴达华府,39.01㎡,208,宝安区?西乡?,东北,商品房,2室1厅1厨1卫,有,高楼层 (共29层)
,精装,https://sz.lianjia.com/ershoufang/105101216724.html,2000年建/板塔结合,57631元/平米,星河雅居,86.76㎡,500,福田区?新洲?,西南,商品房,3室2厅1厨1卫,有,低楼层 (共33层)
,其他,https://sz.lianjia.com/ershoufang/105101189361.html,2012年建/板塔结合,47021元/平米,龙华花半里花园,88.26㎡,415,龙华区?龙华中心?,东南,商品房,3室2厅1厨2卫,有,中楼层 (共33层)
,精装,https://sz.lianjia.com/ershoufang/105100609163.html,2001年建/塔楼,51113元/平米,林海山庄,77.28㎡,395,福田区?梅林?,南,商品房,2室2厅1厨1卫,有,高楼层 (共13层)
,精装,https://sz.lianjia.com/ershoufang/105101083831.html,2002年建/板塔结合,80074元/平米,海印长城,108.4㎡,868,南山区?南山中心?,西北,商品房,3室2厅1厨1卫,有,中楼层 (共17层)
,其他,https://sz.lianjia.com/ershoufang/105100728910.html,2007年建/塔楼,52632元/平米,祥云天都世纪大厦,76㎡,400,福田区?新洲?,南,商品房,2室2厅1厨1卫,有,中楼层 (共32层)
,精装,https://sz.lianjia.com/ershoufang/105101143909.html,2012年建/暂无数据,66477元/平米,松坪村西区三期,49.04㎡,326,南山区?科技园?,东南,商品房,2室1厅1厨1卫,有,低楼层 (共33层)
,简装,https://sz.lianjia.com/ershoufang/105100813935.html,2004年建/板塔结合,42824元/平米,万科东海岸,154.12㎡,660,盐田区?梅沙?,北,商品房,3室2厅1厨2卫,有,低楼层 (共11层)
,精装,https://sz.lianjia.com/ershoufang/105100463546.html,2005年建/塔楼,47318元/平米,中海日辉台,99.33㎡,470,龙岗区?坂田?,南 北,商品房,3室2厅1厨2卫,有,高楼层 (共11层)
,简装,https://sz.lianjia.com/ershoufang/105100967103.html,2005年建/板塔结合,66134元/平米,富通好旺角二期,93.75㎡,620,宝安区?宝安中心?,北,商品房,3室2厅1厨1卫,有,中楼层 (共18层)
,精装,https://sz.lianjia.com/ershoufang/105100562441.html,1999年建/板塔结合,52408元/平米,万事达名苑,70.41㎡,369,罗湖区?百仕达?,西南,商品房,2室2厅1厨1卫,有,低楼层 (共17层)
,其他,https://sz.lianjia.com/ershoufang/105101092010.html,2008年建/板楼,59070元/平米,槟城西岸,107.5㎡,635,宝安区?碧海?,西南,商品房,4室1厅1厨2卫,有,低楼层 (共30层)
,精装,https://sz.lianjia.com/ershoufang/105101047926.html,2013年建/塔楼,53673元/平米,熙和园,70.8㎡,380,龙岗区?龙岗中心城?,南,商品房,3室2厅1厨1卫,有,高楼层 (共18层)
,其他,https://sz.lianjia.com/ershoufang/105101054349.html,2004年建/板楼,83668元/平米,鼎太风华四期,114.74㎡,960,南山区?前海?,南 北,商品房,3室2厅1厨2卫,有,高楼层 (共18层)
,精装,https://sz.lianjia.com/ershoufang/105101083008.html,2003年建/板塔结合,45048元/平米,桂芳园五期,71.48㎡,322,龙岗区?布吉大芬?,东北,商品房,2室1厅1厨1卫,有,中楼层 (共14层)
,简装,https://sz.lianjia.com/ershoufang/105101041425.html,2007年建/塔楼,79518元/平米,深蓝季节,36.47㎡,290,南山区?后海?,东南,商品房,1室1厅1厨1卫,有,高楼层 (共32层)
,其他,https://sz.lianjia.com/ershoufang/105101184468.html,2009年建/板塔结合,79333元/平米,诺德假日花园,49.16㎡,390,南山区?前海?,北,商品房,2室1厅1厨1卫,有,中楼层 (共29层)
,精装,https://sz.lianjia.com/ershoufang/105100740089.html,2005年建/塔楼,55759元/平米,韵动家园,76.76㎡,428,福田区?新洲?,东北,商品房,2室1厅1厨1卫,有,中楼层 (共29层)
,简装,https://sz.lianjia.com/ershoufang/105101208950.html,2005年建/板塔结合,37766元/平米,龙翔花园,50.31㎡,190,龙岗区?龙岗中心城?,东北,商品房,2室1厅1厨1卫,暂无数据,高楼层 (共7层)
,其他,https://sz.lianjia.com/ershoufang/105100738491.html,2004年建/塔楼,71104元/平米,长城盛世家园二期,72.43㎡,515,福田区?莲花?,南,商品房,2室1厅1厨1卫,有,中楼层 (共34层)
,简装,https://sz.lianjia.com/ershoufang/105101016126.html,2011年建/塔楼,70964元/平米,东方银座公馆,67.64㎡,480,南山区?前海?,南,商品房,2室2厅1厨2卫,有,低楼层 (共31层)
,其他,https://sz.lianjia.com/ershoufang/105101218273.html,2010年建/塔楼,49950元/平米,绿景大公馆,148.15㎡,740,龙岗区?大运新城?,南 北,商品房,5室1厅1厨2卫,有,低楼层 (共31层)
,精装,https://sz.lianjia.com/ershoufang/105101078339.html,2010年建/塔楼,61434元/平米,阳光天健城,146.5㎡,900,龙岗区?大运新城?,南,商品房,4室2厅1厨2卫,有,中楼层 (共29层)
,其他,https://sz.lianjia.com/ershoufang/105101110987.html,1999年建/板塔结合,35373元/平米,丽湖花园二期,52.3㎡,185,龙岗区?布吉水径?,东南,商品房,2室1厅1厨1卫,暂无数据,中楼层 (共9层)
,简装,https://sz.lianjia.com/ershoufang/105100971071.html,2006年建/板塔结合,57483元/平米,风格名苑,51.32㎡,295,罗湖区?地王?,北,商品房,1室1厅1厨1卫,有,高楼层 (共30层)
,精装,https://sz.lianjia.com/ershoufang/105101100817.html,2007年建/板塔结合,75132元/平米,凯旋豪庭,66.55㎡,500,福田区?景田?,南 北,商品房,2室1厅1厨1卫,有,低楼层 (共20层)
,精装,https://sz.lianjia.com/ershoufang/105101219630.html,2000年建/板塔结合,34417元/平米,丽湖花园三期,92.98㎡,320,龙岗区?布吉水径?,东,商品房,3室2厅1厨1卫,有,中楼层 (共18层)
,精装,https://sz.lianjia.com/ershoufang/105101079945.html,2005年建/板塔结合,57874元/平米,新锦安雅园三期,205.62㎡,1190,宝安区?翻身?,东南,商品房,5室2厅1厨2卫,有,高楼层 (共31层)
,精装,https://sz.lianjia.com/ershoufang/105101152708.html,2007年建/板塔结合,55866元/平米,金地名津,44.75㎡,250,福田区?皇岗?,南,商品房,1室1厅1厨1卫,有,高楼层 (共25层)
,精装,https://sz.lianjia.com/ershoufang/105101205919.html,2001年建/板塔结合,50044元/平米,骏庭名园,57.95㎡,290,罗湖区?地王?,西北,商品房,2室1厅1厨1卫,有,中楼层 (共31层)
,精装,https://sz.lianjia.com/ershoufang/105101171632.html,1997年建/板塔结合,44075元/平米,岗厦变电综合楼,81.68㎡,360,福田区?福田中心?,北,商品房,2室1厅1厨1卫,有,高楼层 (共23层)
,精装,https://sz.lianjia.com/ershoufang/105101093901.html,2001年建/板塔结合,42575元/平米,美丽家园,70.23㎡,299,龙华区?龙华中心?,东南,商品房,2室2厅1厨1卫,暂无数据,中楼层 (共7层)
,简装,https://sz.lianjia.com/ershoufang/105100854163.html,2005年建/板塔结合,83137元/平米,红荔村,105.85㎡,880,福田区?华强北?,南,商品房,3室2厅1厨1卫,有,高楼层 (共15层)
,其他,https://sz.lianjia.com/ershoufang/105101106994.html,2003年建/板塔结合,61744元/平米,百仕达花园一期,123.9㎡,765,罗湖区?百仕达?,南,商品房,3室2厅1厨2卫,有,中楼层 (共32层)
,其他,https://sz.lianjia.com/ershoufang/105101067708.html,2004年建/塔楼,48488元/平米,雅然居,111.37㎡,540,宝安区?新安?,东北,商品房,4室2厅1厨2卫,有,中楼层 (共17层)
,精装,https://sz.lianjia.com/ershoufang/105101092699.html,2008年建/板塔结合,56033元/平米,世纪春城四期,82.63㎡,463,龙华区?深圳北站?,西南,商品房,3室2厅1厨1卫,有,高楼层 (共26层)
,其他,https://sz.lianjia.com/ershoufang/105101193069.html,1992年建/板塔结合,40022元/平米,海滨花园,91.2㎡,365,宝安区?新安?,东南,商品房,3室2厅1厨1卫,暂无数据,高楼层 (共7层)
,简装,https://sz.lianjia.com/ershoufang/105100767576.html,1995年建/暂无数据,50440元/平米,康达尔职工住宅楼,69.39㎡,350,福田区?新洲?,南,商品房,2室2厅1厨1卫,暂无数据,中楼层 (共8层)
,其他,https://sz.lianjia.com/ershoufang/105101015338.html,2003年建/板塔结合,92800元/平米,碧海云天二期,156.25㎡,1450,福田区?竹子林?,南,商品房,4室1厅1厨2卫,有,低楼层 (共18层)
,精装,https://sz.lianjia.com/ershoufang/105101036595.html,2004年建/板塔结合,49920元/平米,里仁府,86.54㎡,432,宝安区?翻身?,东北,商品房,3室2厅1厨1卫,有,中楼层 (共25层)
,其他,https://sz.lianjia.com/ershoufang/105101220591.html,2002年建/板塔结合,75617元/平米,美庐锦园,112.41㎡,850,南山区?红树湾?,南,商品房,3室1厅1厨1卫,有,低楼层 (共19层)
,简装,https://sz.lianjia.com/ershoufang/105100873639.html,2005年建/板塔结合,54570元/平米,绿景花园,112.7㎡,615,福田区?新洲?,北,商品房,3室2厅1厨2卫,有,高楼层 (共13层)
,其他,https://sz.lianjia.com/ershoufang/105101186088.html,2005年建/板塔结合,60640元/平米,嘉南美地,72.56㎡,440,南山区?南头?,南 北,商品房,2室1厅1厨1卫,有,中楼层 (共18层)
,精装,https://sz.lianjia.com/ershoufang/105101026112.html,2007年建/塔楼,78779元/平米,湖彬苑,62.2㎡,490,南山区?西丽?,南,商品房,3室1厅1厨1卫,有,中楼层 (共18层)
,其他,https://sz.lianjia.com/ershoufang/105101165087.html,2006年建/板塔结合,76196元/平米,金泓凯旋城一期,131.11㎡,999,宝安区?宝安中心?,东南,商品房,3室2厅1厨2卫,有,高楼层 (共32层)
,其他,https://sz.lianjia.com/ershoufang/105101124408.html,2015年建/板楼,53939元/平米,塘朗城广场东区,140.9㎡,760,南山区?大学城?内环至中环,南 北,商品房,4室2厅1厨2卫,有,低楼层 (共32层)
,简装,https://sz.lianjia.com/ershoufang/105100800615.html,2002年建/板塔结合,42077元/平米,大益广场,112.89㎡,475,宝安区?西乡?,东南,商品房,3室2厅1厨2卫,有,高楼层 (共16层)
,毛坯,https://sz.lianjia.com/ershoufang/105100820056.html,2015年建/板塔结合,48566元/平米,特发和平里二期,179.14㎡,870,龙华区?上塘?,南,商品房,5室2厅1厨3卫,暂无数据,低楼层 (共48层)
,精装,https://sz.lianjia.com/ershoufang/105101147971.html,2017年建/塔楼,47268元/平米,万科公园6号,86.74㎡,410,龙岗区?布吉南岭?,东南,商品房,3室2厅1厨2卫,有,低楼层 (共40层)
,精装,https://sz.lianjia.com/ershoufang/105101140929.html,1999年建/塔楼,37888元/平米,国展苑一期,54.9㎡,208,龙岗区?布吉关?,南,商品房,2室1厅1厨1卫,有,高楼层 (共35层)
,其他,https://sz.lianjia.com/ershoufang/105101169032.html,1999年建/板塔结合,46425元/平米,海滨城广场,90.9㎡,422,宝安区?翻身?,西南,商品房,3室1厅1厨1卫,有,中楼层 (共11层)
,其他,https://sz.lianjia.com/ershoufang/105101022317.html,2001年建/板塔结合,59463元/平米,港田花园,58.02㎡,345,福田区?皇岗?,东南,商品房,2室1厅1厨1卫,有,中楼层 (共32层)
